is_spammer,id,name,verified,followers_count,follow_count,post_count,favourites_count,bi_followers_count,user_ability,followRatio,friendRatio
0,6433167042,用户6433167042,0,7,408,2,0,0,2097152,51.00,0.00
1,7157836964,coinisi37441,0,1,302,0,0,0,0,151.00,0.00
1,6432645341,施惠惠15990301227,0,1,348,0,0,0,0,174.00,0.00
0,7157614693,WMDA茶茶,0,5,38,6,0,1,0,6.33,0.03
1,6365523961,danzhu4432,0,1,177,0,0,0,0,88.50,0.00
1,5738935674,用户5738935674,0,6,61,0,0,0,0,8.71,0.00
1,7062358015,林笙22,0,2,730,0,0,0,0,243.33,0.00
0,6381318023,听闻群妹妹很乖0,0,1,89,1,0,0,0,44.50,0.00
0,6519017206,gxxnfy6519017206,0,54,491,144,2,1,2097152,8.93,0.00
1,6393532660,不会下蛋的鸡8077,0,1,558,0,0,0,0,279.00,0.00
1,6293316252,用户6293316252,0,1,59,0,0,0,0,29.50,0.00
1,7093952029,用户7093952029,0,1,390,0,0,0,0,195.00,0.00
1,7156906467,体育场馆-中心88,0,1,43,0,0,0,0,21.50,0.00
0,5171274996,Adieu12365,0,9,118,11,2,1,0,11.80,0.01
1,7156905023,寻觅豆瓣菩提VP,0,1,85,0,0,0,0,42.50,0.00
0,5815758752,beautifulidot,0,19,264,88,0,1,2097152,13.20,0.00
0,6881436097,清草C57008,0,7,85,2,0,0,0,10.62,0.00
0,6104563964,默6104563964,0,11,461,1,13,0,33554432,38.42,0.00
1,7157828097,用户7157828097,0,3,113,0,0,0,0,28.25,0.00
0,5853687742,A-孟希,0,2,184,1,0,0,1024,61.33,0.00
0,2609027001,山东政法学院---名舞堂_728,0,25,146,4,0,7,2097152,5.62,0.05
1,7157833402,王fT小闹闹闹,0,1,26,0,0,0,0,13.00,0.00
0,6368052073,曹小云6368052073,0,54,212,46,2,0,0,3.85,0.00
0,2771038743,北越份子艾特you,0,10,148,19,0,0,0,13.45,0.00
1,6991070234,SEV7N12559,0,1,64,0,0,0,0,32.00,0.00
1,6370216698,知许别事,0,3,307,0,0,0,0,76.75,0.00
0,6709022886,用户6709022886,0,2,60,3,0,0,0,20.00,0.00
0,5045676479,一笑而过97467,0,43,213,4,0,0,33554432,4.84,0.00
1,6470425022,薄情0712,0,2,55,0,0,0,0,18.33,0.00
1,7157831864,kMissSpring517,0,1,50,0,0,0,0,25.00,0.00
0,5864160092,林梓fickle,0,11,90,10,0,1,1024,7.50,0.01
1,7157831519,法芒草的岛屿06,0,1,24,0,0,0,0,12.00,0.00
1,6740433203,用户6740433203,0,1,191,0,0,0,0,95.50,0.00
1,7024700572,痴49416,0,4,410,0,0,0,0,82.00,0.00
0,5851976182,爱旅行的小鱼儿-869,0,6,204,4,0,0,0,29.14,0.00
1,6587811198,用户6587811198,0,2,259,0,0,0,0,86.33,0.00
1,7157829434,用户7157829434,0,1,174,0,0,0,0,87.00,0.00
1,7156901150,Gv孩孩3_cG,0,1,60,0,0,0,0,30.00,0.00
0,6533918755,用户6533918755,0,4,118,1,1,0,0,23.60,0.00
1,6506452705,王雪0903,0,1,216,0,0,0,0,108.00,0.00
0,5711648699,清语静,0,38,321,75,1052,5,2097152,8.23,0.02
1,6471969422,河边漫步6471969422,0,13,34,0,0,0,0,2.43,0.00
0,5732238522,等着你136,0,5,118,4,0,0,1024,19.67,0.00
1,6570542404,夏独憶78883,0,2,413,0,0,0,0,137.67,0.00
0,5722456679,宽敞镰,0,1,94,1096,0,0,1024,47.00,0.00
1,5209102758,用户5209102758,0,1,344,0,0,0,0,172.00,0.00
0,3733497622,半颗糖的忧伤,0,72,183,66,4,44,0,2.51,0.24
0,6583355095,好丸美,0,5,136,3,0,0,0,22.67,0.00
1,7060357966,用户7060357966,0,3,333,0,0,0,0,83.25,0.00
1,7047022658,用户7047022658,0,1,131,0,0,0,0,65.50,0.00
0,6563372981,用户6563372981,0,1,85,2,0,0,0,42.50,0.00
1,6499680591,用户6499680591,0,2,432,0,0,0,0,144.00,0.00
0,6602749952,霓裳惠心,0,7,102,15,1,0,2097152,12.75,0.00
1,7157827304,用户7157827304,0,1,40,0,0,0,0,20.00,0.00
1,7156896663,用户7156896663,0,2,622,0,0,0,0,207.33,0.00
1,6172544199,用户6172544199,0,1,179,0,0,0,0,89.50,0.00
1,6557573963,用户6557573963,0,10,929,0,0,0,0,84.45,0.00
0,5823237253,用户5823237253,0,1,99,2,0,0,2097152,49.50,0.00
1,7156896463,墨鹿桑,0,1,173,0,0,0,0,86.50,0.00
1,7156897222,江米豆Hp包团儿,0,1,49,0,0,0,0,24.50,0.00
1,7157826413,小城里的一小提刑,0,1,74,0,0,0,0,37.00,0.00
0,6861471821,用户6861471821,0,2,263,2,0,0,0,87.67,0.00
0,6441886968,夏日星空1920,0,7,684,6,0,0,0,85.50,0.00
0,5611988071,用户5611988071,0,1,154,4,1,0,0,77.00,0.00
0,3963000049,林慕黄,0,263,743,0,4422,23,2098176,2.81,0.03
0,6504202158,杀手时间轴,0,1,124,2,0,0,0,62.00,0.00
0,2660298084,MiniTreehu,0,38,357,27,0,0,0,9.15,0.00
0,5705320987,_宝宝叽的老公仔,0,2,62,1,0,1,0,20.67,0.02
1,7077455454,用户7077455454,0,3,549,0,0,0,0,137.25,0.00
0,7025661032,盐城陈林萨克斯,0,3,30,4,0,1,0,7.50,0.03
0,5312526016,可爱小罗子,0,134,313,115,0,5,2098176,2.32,0.02
1,6393074767,用户6393074767,0,1,106,0,0,0,0,53.00,0.00
1,6616854427,Timeless落尘89730,0,1,95,0,0,0,0,47.50,0.00
0,6126702476,南栀倾寒--0,0,55,654,24,1,0,2097152,11.68,0.00
0,5525201103,共勉Min,0,14,251,2,2,0,0,16.73,0.00
1,7156893787,家导阵老笠8,0,1,85,0,0,0,0,42.50,0.00
0,5152047668,四牌楼一哥,0,315,801,295,82,52,35652608,2.53,0.06
1,7157822949,星星的依赖丶02,0,1,41,0,0,0,0,20.50,0.00
0,6021334814,小钰ypy,0,21619,4116,264,1,3658,2097152,0.19,0.89
1,7156893860,撤吃枇杷不吐核,0,1,35,0,0,0,0,17.50,0.00
1,6011547990,陈陈吧吧,0,5,87,0,0,0,0,14.50,0.00
1,7157821863,用户7157821863,0,1,261,0,0,0,0,130.50,0.00
1,7079765575,做个混世魔王68,0,1,119,0,0,0,0,59.50,0.00
0,6837050448,坤哥等我-,0,1,61,16,0,0,0,30.50,0.00
0,5564781128,西西里吉木,0,8,127,1,0,3,0,14.11,0.02
0,6086301020,小糊涂ae,0,636,627,377,0,1,2097152,0.98,0.00
1,7157821200,Daisy_2014j66,0,1,42,0,0,0,0,21.00,0.00
1,7157817864,丧丧的小朱,0,1,75,0,0,0,0,37.50,0.00
0,2526898082,随域而安吧,0,101,454,245,75,13,33554432,4.45,0.03
1,3163959485,1995_姚姚领先,0,44,67,0,0,0,0,1.49,0.00
0,5829448048,发呆女疯子,0,25,91,5,0,1,0,3.50,0.01
1,7157819470,nbalabllll530,0,1,25,0,0,0,0,12.50,0.00
1,5652665553,地理不考及格不改名,0,3,143,0,0,0,0,35.75,0.00
1,7157818559,桃教小丸丸丸88,0,1,46,0,0,0,0,23.00,0.00
